category,indicator_code,display_name,current_database_field,unit,required_frequency,current_input_method,preferred_source,backup_source,source_type,source_symbol_or_series,authentication_required,free_or_paid,expected_delay,timezone,trading_calendar,update_time,value_definition,change_definition,automation_level,implementation_priority,known_risks,verification_method
Liquidity,DR007,DR007,indicators.value / previous_value,%,Daily Close,Manual,ChinaMoney via AKShare adapter,Licensed terminal,Official webpage adapter,DR007,false,Free public page / license unclear,EOD,Asia/Shanghai,China interbank,After official publication,Official weighted repo rate,Value difference x100 bp,B,P2,Undocumented endpoint and definition ambiguity,Compare 10 days with official page and terminal
Liquidity,R001,R001,indicators.value / previous_value,%,Daily Close,Manual,ChinaMoney via AKShare adapter,Licensed terminal,Official webpage adapter,R001,false,Free public page / license unclear,EOD,Asia/Shanghai,China interbank,After official publication,Official weighted repo rate,Value difference x100 bp,B,P2,Undocumented endpoint and definition ambiguity,Compare 10 days with official page and terminal
Liquidity,SOFR,SOFR,indicators.value / previous_value,%,Daily,FRED,St. Louis Fed FRED,New York Fed,Official API,SOFR,true,Free,EOD plus publication lag,America/New_York,US business days,After release,Published SOFR rate,Value difference x100 bp,A,P1,Holiday and revision timing,Match latest two FRED and NY Fed observations
Liquidity,RRP,Fed Overnight Reverse Repo,indicators.value / previous_value,USD bn,Daily,FRED,St. Louis Fed FRED,New York Fed,Official API,RRPONTSYD,true,Free,EOD,America/New_York,US business days,After release,Overnight reverse repo usage in USD billions,Percent change,A,P1,Unit conversion and zero denominator,Match FRED units and date
China Rates,CN10Y,China Government Bond 10Y,indicators.value / previous_value,%,Daily Close,ChinaBond scraper,ChinaBond CCDC,Manual licensed check,Official webpage adapter,Government yield curve 10Y,false,Free page / reuse to verify,EOD,Asia/Shanghai,China bond business days,After curve publication,10Y spot yield from government curve,Value difference x100 bp,B,P2,HTML structure and tenor mapping,Contract fixture plus official page sample
China Rates,CN30Y,China Government Bond 30Y,indicators.value / previous_value,%,Daily Close,ChinaBond scraper,ChinaBond CCDC,Manual licensed check,Official webpage adapter,Government yield curve 30Y,false,Free page / reuse to verify,EOD,Asia/Shanghai,China bond business days,After curve publication,30Y spot yield from government curve,Value difference x100 bp,B,P2,HTML structure and tenor mapping,Contract fixture plus official page sample
China Rates,IRS1Y,FR007 IRS 1Y,indicators.value / previous_value,%,Daily Close,Manual Wind,Licensed Wind or CFETS,Manual double check,Licensed data,FR007 IRS 1Y,true,Paid,EOD,Asia/Shanghai,China interbank,After close,Approved 1Y FR007 swap close,Value difference x100 bp,C,P3,No acceptable free licensed source,Two-person check against licensed terminal
China Rates,IRS5Y,FR007 IRS 5Y,indicators.value / previous_value,%,Daily Close,Manual Wind,Licensed Wind or CFETS,Manual double check,Licensed data,FR007 IRS 5Y,true,Paid,EOD,Asia/Shanghai,China interbank,After close,Approved 5Y FR007 swap close,Value difference x100 bp,C,P3,No acceptable free licensed source,Two-person check against licensed terminal
US Rates,US2Y,US Treasury 2Y,indicators.value / previous_value,%,Daily Close,US Treasury,U.S. Treasury,FRED,Official API/XML,BC_2YEAR / DGS2,false,Free,EOD,America/New_York,US Treasury business days,After daily curve,2Y Treasury par yield,Value difference x100 bp,A,P1,Revisions and holiday gaps,Compare Treasury and FRED date/value
US Rates,US10Y,US Treasury 10Y,indicators.value / previous_value,%,Daily Close,US Treasury,U.S. Treasury,FRED,Official API/XML,BC_10YEAR / DGS10,false,Free,EOD,America/New_York,US Treasury business days,After daily curve,10Y Treasury par yield,Value difference x100 bp,A,P1,Revisions and holiday gaps,Compare Treasury and FRED date/value
